銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
9278,グ,ブックオフGHD,1744,2026,16%割高,-
9279,プ,ギフトHD,2875,4370,52%割高,-
9301,プ,三菱倉庫,1596,1397.5,12%割安,+
9302,プ,三井倉庫HD,3485,3932,13%割高,-
9303,プ,住友倉庫,3988,3785,5%割安,+
9304,プ,渋沢倉庫,1299,1269,2%割安,+
9305,プ,ヤマタネ,2314,2020,13%割安,+
9306,ス,東陽倉庫,3391,2092,38%割安,+
9307,ス,杉村倉庫,1069,1033,3%割安,+
9308,ス,乾汽船,2485,1521,39%割安,+
9101,プ,日本郵船,7785,5669,27%割安,+
9104,プ,商船三井,8224,5935,28%割安,+
9107,プ,川崎汽船,2740,2562.5,6%割安,+
9110,ス,NSユナイテッド海運,11168,7600,32%割安,+
9115,ス,明海G,2820,1274,55%割安,+
9119,プ,飯野海運,1851,1648,11%割安,+
9127,ス,玉井商船,5673,3205,44%割安,+
9130,ス,共栄タンカー,2124,1670,21%割安,+
9142,プ,JR九州,3643,3588,1%割安,+
9143,プ,SGHD,1725,1462,15%割安,+
9145,ス,ビーイングHD,1234,583,53%割安,+
9147,プ,NIPPON EXPRESSSHD,4146,4101,1%割安,+
9158,グ,シーユーシー,1899,923,51%割安,+
9159,グ,W TOKYO,1570,2041,39%割高,-
9160,ス,オンザベージ,523,305,42%割安,+
9162,グ,ブリーチ,322,251,18%割安,+
9163,グ,ナレルG,4622,2258,51%割安,+
9165,グ,クオルテック,1875,1479,21%割安,+
9166,グ,GENDA,393,527,49%割高,-
9168,グ,ライズ・コンサルティング-G,462,427,7%割安,+
9171,ス,栗林商船,2574,1890,27%割安,+
9173,ス,東海汽船,2485,2997,25%割高,-
9193,ス,東京汽船,933,1038,5%割高,-
9201,プ,日本航空,2576,2454,5%割安,+
9202,プ,ANAHD,2645,2601.5,2%割安,+
9204,グ,スカイマーク,284,325,14%割高,-
9206,ス,スターフライヤー,1210,1910,58%割高,-
9211,グ,エフ・コード,2841,1464,48%割安,+
9212,グ,Green Earth Institute,207,383,93%割高,-
9213,ス,セイファート,,940,,-
9214,グ,Recovery International,2017,1390,31%割安,+
9215,グ,CaSy,,870,,-
9216,プ,ビーウィズ,916,1881,115%割高,-
9218,グ,メンタルヘルステクノロジーズ,440,747,80%割高,-
9219,グ,ギックス,305,923,205%割高,-
9220,グ,エスビー介護サービス,2446,1270,48%割安,+
9221,ス,フルハシEPO,988,1217,23%割高,-
9223,グ,ASNOVA,81,435,636%割高,-
9225,グ,ブリッジコンサルティングG,660,1097,78%割高,-
9227,グ,マイクロ波化学,,1024,,-
9622,プ,スペース,1985,1477,26%割安,+
9625,ス,セレスポ,1470,1089,26%割安,+
9627,プ,アインHD,7727,5647,27%割安,+
9628,プ,燦HD,2782,1390,50%割安,+
9628,プ,ピー・シー・エー,1413,1340,5%割安,+
9632,ス,スバル興業,3707,3410,8%割安,+
9633,ス,東京テアトル,1799,1580,12%割安,+
9635,ス,武蔵野興業,4447,2512,44%割安,+
9636,ス,きんえい,1033,4180,305%割高,-
9639,ス,三協フロンテア,3492,2153,38%割安,+
9640,ス,セゾンテクノロジー,983,2300,134%割高,-
9644,プ,タナベコンサルティングG,688,726,6%割高,-
9647,ス,協和コンサルタンツ,17373,8220,53%割安,+
9651,ス,日本プロセス,1927,1832,5%割安,+
9656,ス,グリーンランドリゾート,983,617,37%割安,+
9658,ス,ビジネスブレイン太田昭和,1282,922,28%割安,+
9661,ス,歌舞伎座,902,4460,395%割高,-
9663,プ,ナガワ,4850,5190,7%割高,-
9672,プ,東京都競馬,6823,5540,19%割安,+
9678,プ,カナモト,5248,4640,4%割安,+
9679,ス,ホウライ,2325,2248,3%割安,+
9682,プ,DTS,1114,1020,8%割安,+
9684,ス,スクウェア・エニックス-HD,1451,2457,69%割高,-
9685,ス,KYCOMHD,1655,635,62%割安,+
9686,ス,東洋テック,2477,1536,38%割安,+
9687,ス,KSK,5110,4440,11%割安,+
9691,ス,両毛システムズ,8881,3865,56%割安,+
9692,プ,シーイーシー,2418,1938,20%割安,+
9697,プ,カプコン,2771,3303,19%割高,-
9698,ス,クレオ,1428,1198,14%割安,+
9699,プ,ニシオHD,8184,4310,47%割安,+
9701,ス,東京会館,3399,4200,24%割高,-
9702,プ,アイ・エス・ピー,2553,2148,16%割安,+
9704,ス,アゴーラホスピタリティーG,33,39,19%割高,-
9706,プ,日本空港ビルディング,4878,5047,10%割高,-
9708,ス,帝国ホテル,421,1203,186%割高,-
9709,ス,NCS&A,1889,1553,18%割安,+
9713,ス,ロイヤルホテル,1203,898,25%割安,+
9715,プ,トランスコスモス,4767,3845,19%割安,+
9716,プ,乃村工藝社,1209,1170,3%割安,+
9505,プ,北陸電力,1567,872.8,44%割安,+
9506,プ,東北電力,1652,1088.5,34%割安,+
9507,プ,四国電力,1868,1556.5,16%割安,+
9508,プ,九州電力,1951,1689,13%割安,+
9509,プ,北海道電力,1521,1010.5,34%割安,+
9511,プ,沖縄電力,,935,,-
9513,ス,Jパワー,7975,3855,52%割安,+
9514,ス,エフオン,748,360,52%割安,+
9517,プ,イーレックス,1119,1010,10%割安,+
9519,プ,レノバ,1224,1111,9%割安,+
9531,プ,東京ガス,6236,6670,7%割高,-
9532,プ,大阪ガス,4845,5682,17%割高,-
9533,プ,東邦ガス,1206,1186.5,2%割安,+
9534,プ,北海道ガス,1484,827,44%割安,+
9535,ス,広島ガス,877,397,55%割安,+
9536,ス,西部ガスHD,2250,2236,1%割安,+
9537,ス,北陸ガス,10412,5250,50%割安,+
9539,ス,京葉ガス,2904,1316,55%割安,+
9543,ス,静岡ガス,2040,1413,31%割安,+
9551,ス,メタウォーター,4156,3390,18%割安,+
9552,ス,クオンツ総研HD,1042,638,39%割安,+
9553,グ,マイクロアド,251,745,209%割高,-
9554,グ,オビック,1807,1461,18%割安,+
9556,グ,INTLOOP,4814,1893,61%割安,+
9557,グ,エアークローゼット,53,242,362%割高,-
9558,グ,ジャパニアス,3458,2166,37%割安,+
9560,グ,プログリット,1866,737,60%割安,+
9561,グ,グラッドキューブ,89,419,375%割高,-
9562,グ,ビジネスコーチ,603,673,12%割高,-
9563,グ,Atlas Technologies,234,284,22%割高,-
9564,ス,FCE,862,465,44%割安,+
9565,グ,GLOE,,744,,-
9601,プ,松竹,5961,10380,74%割高,-
9602,プ,東宝,832,1456.5,75%割高,-
9603,プ,エイチ・アイ・エス,1020,1045,2%割高,-
9605,プ,東映,7336,5820,21%割安,+
9612,ス,ラックランド,1522,1435,6%割安,+
9616,プ,共立メンテナンス,2025,2366,17%割高,-
9619,プ,イチネンHD,2576,2159,16%割安,+
9621,プ,建設技術研究所,3834,2820,26%割安,+
9404,プ,日本テレビHD,4048,2976.5,26%割安,+
9405,プ,朝日放送GHD,1411,826,41%割安,+
9408,ス,BSNメディアHD,4230,2782,34%割安,+
9409,プ,テレビ朝日HD,4505,3235,28%割安,+
9412,プ,スカパーJSAT,1617,3450,113%割高,-
9413,プ,テレビ東京HD,4501,3955,12%割安,+
9414,ス,日本BS放送,1189,906,24%割安,+
9416,プ,ビジョン,1843,1093,40%割安,+
9417,ス,スマートバリュー,,299,,-
9418,プ,U-NEXT HOLDINGS,2226,1527,31%割安,+
9419,ス,ワイヤレスゲート,314,289,8%割安,+
9421,ス,エヌジェイHD,329,668,106%割高,-
9423,ス,フォーバル・リアルストレート,62,104,68%割高,-
9424,プ,日本通信,93,125,38%割高,-
9425,ス,ReYuu Japan,,327,,-
9428,ス,クロップス,2284,1334,42%割安,+
9432,プ,NTT,218,152.5,30%割安,+
9433,プ,KDDI,2852,2582.5,9%割安,+
9434,プ,ソフトバンク,190,221.9,18%割高,-
9435,プ,光通信,28382,38000,34%割高,-
9436,ス,沖縄セルラー電話,2501,3355,34%割高,-
9438,プ,エムティーアイ,479,580,21%割高,-
9440,ス,エム・エイチ・G,45,239,435%割高,-
9441,ス,ベルパーク,2722,3005,10%割高,-
9445,ス,フォーバルテレコム,487,548,13%割高,-
9446,ス,サカイHD,1023,715,30%割安,+
9449,プ,GMOインターネットG,5137,3080,40%割安,+
9450,ス,ファイバーゲート,775,710,8%割安,+
9466,ス,アイドマーケティングコミュニケーション,257,232,10%割安,+
9467,グ,アルファポリス,2032,1082,47%割安,+
9468,プ,KADOKAWA,2149,3558,66%割高,-
9470,プ,学研HD,1910,966,49%割安,+
9474,プ,ゼンリン,952,851,11%割安,+
9475,ス,昭文社HD,508,503,1%割安,+
9476,ス,中央経済社HD,1036,973,6%割安,+
9478,ス,SEHD・アンド・インキュベーションズ,585,499,15%割安,+
9501,プ,東京電力HD,722,592.2,22%割安,+
9502,プ,中部電力,2993,2690.5,11%割安,+
9503,プ,関西電力,2725,2505.5,8%割安,+
9504,プ,中国電力,1234,894.2,28%割安,+
9928,プ,ミロク情報サービス,2428,1703,28%割安,+
9929,プ,平和紙業,137,460,235%割高,-
9930,ス,北沢産業,508,364,28%割安,+
9932,ス,杉本商事,1896,1221,36%割安,+
9934,プ,因幡電機産業,3042,2639,12%割安,+
9936,ス,王将フードサービス,2910,2928,1%割高,-
9941,ス,太洋物産,208,1025,401%割高,-
9946,プ,ミニストップ,,1868,,-
9948,プ,アークス,3965,3400,14%割安,+
9950,ス,ハチバン,1252,3400,172%割高,-
9955,ス,ヨンキュウ,3104,2780,10%割安,+
9956,プ,バローHD,4227,3690,13%割安,+
9959,ス,アシードHD,769,852,11%割高,-
9960,プ,東テク,4983,3800,24%割安,+
9962,プ,ミスミG本社,2709,3589,33%割高,-
9969,ス,ショクブン,142,235,65%割高,-
9972,ス,アルテック,602,276,54%割安,+
9973,ス,KOZOHD,,25,,-
9974,プ,ベルク,9392,6980,26%割安,+
9976,ス,セキチュー,1858,1050,43%割安,+
9979,ス,大庄,624,1028,65%割高,-
9980,ス,MRKHD,125,98,22%割安,+
9982,ス,タキヒヨー,3843,2789,27%割安,+
9983,プ,ファーストリテイリング,61917,73590,19%割高,-
9984,プ,ソフトバンクG,2799,5219,86%割高,-
9986,ス,蔵王産業,2825,2599,8%割安,+
9987,プ,スズケン,6777,5550,18%割安,+
9989,プ,サンドラッグ,4686,3773,19%割安,+
9990,プ,サックスバーHD,996,737,26%割安,+
9991,プ,ジェコス,2512,1611,34%割安,+
9993,ス,ヤマザワ,,1164,,-
9994,ス,やまや,3433,2347,32%割安,+
9996,ス,サトー商会,2916,2260,23%割安,+
9997,プ,ベルーナ,1397,843,40%割安,+
9824,プ,泉州電業,7008,6070,13%割安,+
9827,ス,リリカラ,808,632,6%割安,+
9828,ス,ゲンキGDC,2973,2783,6%割安,+
9830,プ,トラスコ中山,3361,2163,36%割安,+
9831,プ,ヤマダHD,910,522.3,42%割安,+
9832,プ,オートバックスセブン,1845,1525,17%割安,+
9835,ス,ジュンテンドー,,509,,-
9837,プ,モリト,2135,1918,10%割安,+
9842,プ,アークランズ,2174,1778,18%割安,+
9843,プ,ニトリHD,1777,2216.5,25%割高,-
9845,プ,パーカーコーポレーション,2503,1393,44%割安,+
9846,ス,天満屋ストア,2357,966,59%割安,+
9849,ス,共同紙販HD,1359,4485,230%割高,-
9850,プ,グルメ杵屋,334,967,189%割高,-
9853,プ,銀座ルノアール,534,911,71%割高,-
9854,ス,愛眼,302,247,18%割安,+
9856,ス,ケーユーHD,2807,1139,59%割安,+
9857,ス,英和,4557,2655,42%割安,+
9861,プ,吉野家HD,1271,3159,148%割高,-
9867,ス,ソレキア,20051,9350,53%割安,+
9869,プ,加藤産業,6918,6150,11%割安,+
9872,ス,北恵,1247,882,29%割安,+
9876,ス,コックス,520,229,56%割安,+
9878,ス,セキド,,478,,-
9880,プ,イノテック,2528,2859,14%割高,-
9882,プ,イエローハット,2101,1517,28%割安,+
9885,ス,シャルレ,,344,,-
9887,プ,松屋フーズHD,2223,5260,137%割高,-
9888,ス,UEX,1503,708,53%割安,+
9889,プ,JBCCHD,1477,1202,19%割安,+
9890,ス,マキヤ,2544,1190,53%割安,+
9895,ス,コンセック,,1250,,-
9896,ス,JKHD,2893,1356,53%割安,+
9900,プ,サガミHD,781,1718,120%割高,-
9902,プ,日伝,2930,2337,20%割安,+
9903,ス,カンセキ,659,882,34%割高,-
9904,ス,ベリテ,257,393,53%割高,-
9906,ス,藤井産業,7191,4255,41%割安,+
9908,ス,日本電計,4570,2410,47%割安,+
9913,ス,日邦産業,2748,3805,38%割高,-
9720,ス,ホテル・ニューグランド,3094,5740,86%割高,-
9722,プ,藤田観光,822,2041,148%割高,-
9723,ス,京都ホテル,294,635,116%割高,-
9726,ス,KNT-CTHD,2088,1958,6%割安,+
9729,プ,トーカイ,3460,2625,24%割安,+
9731,ス,白洋舎,6780,3395,50%割安,+
9733,ス,ナガセ,2117,2311,9%割高,-
9735,プ,セコム,5771,5740,1%割安,+
9739,プ,NSW,3194,2456,23%割安,+
9740,プ,CSP,2998,2650,12%割安,+
9742,プ,アイネス,1524,2067,36%割高,-
9743,プ,丹青社,1432,1423,1%割安,+
9744,プ,メイテックGHD,2885,3142,9%割高,-
9746,プ,TKC,3907,3595,8%割安,+
9753,ス,アイエックス・ナレッジ,2182,1269,42%割安,+
9755,プ,応用地質,3228,2738,15%割安,+
9757,ス,船井総研HD,1261,1120,11%割安,+
9759,プ,NSD,3111,2687.5,14%割安,+
9760,ス,進学会HD,,134,,-
9761,ス,東海リース,4498,2335,48%割安,+
9763,ス,丸建リース,1993,1283,36%割安,+
9765,プ,オオバ,1312,1233,2%割安,+
9766,プ,コナミG,15166,18900,25%割高,-
9767,ス,日建工学,2138,1602,25%割安,+
9768,ス,いであ,5314,3620,32%割安,+
9769,プ,学究社,2515,2283,9%割安,+
9778,ス,昴,5551,5500,1%割安,+
9780,ス,ハリマビステム,1626,939,42%割安,+
9782,ス,ディーエムエス,3577,3065,14%割安,+
9788,プ,ナック,659,518,21%割安,+
9790,プ,福井コンピュータHD,3761,3290,13%割安,+
9791,ス,ビケンテクノ,2910,1302,55%割安,+
9793,プ,ダイセキ,3507,4215,20%割高,-
9795,プ,ステップ,2863,2298,20%割安,+
9799,ス,旭情報サービス,1330,990,26%割安,+
9812,ス,テーオーHD,,248,,-
9816,ス,ストライダーズ,286,317,11%割高,-
9818,ス,大丸エナウィン,2044,1881,8%割安,+
9820,ス,エムティジェネックス,5573,3470,38%割安,+
9823,ス,マミーマートHD,1986,1116,44%割安,+
