銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
6082,ス,ライドオンエクスプレスHD,1125,986,12%割安,+
6083,ス,ERIHD,6839,6185,10%割安,+
6086,グ,シンメンテHD,1328,1025,23%割安,+
6087,ス,アビスト,2113,3400,61%割高,-
6088,プ,シグマクシス-HD,888,639,28%割安,+
6089,プ,ウィルG,1167,1124,4%割安,+
6090,ス,ヒューマン・メタボローム・テクノロジーズ,764,692,9%割安,+
6091,ス,ウエスコHD,1153,850,26%割安,+
6092,ス,エンバイオ-HD,926,799,14%割安,+
6093,ス,エスクロー・エージェント・ジャパン,157,170,8%割高,-
6094,グ,フリークアウト-HD,733,690,6%割安,+
6096,ス,レアジョブ,284,343,21%割高,-
6098,プ,リクルートHD,5091,7303,43%割高,-
6099,プ,エラン,1100,731,34%割安,+
6101,プ,ツガミ,6805,4690,31%割安,+
6103,プ,オークマ,4550,4475,2%割安,+
6104,ス,芝浦機械,4565,4175,9%割安,+
6113,プ,アマダ,2361,2629,11%割高,-
6118,プ,アイダエンジニアリング,1582,1190,25%割安,+
6408,ス,小倉クラッチ,11930,4940,59%割安,+
6412,プ,平和,2129,1814,15%割安,+
6413,プ,理想科学工業,1101,1050,5%割安,+
6417,プ,SANKYO,3143,1847,40%割安,+
6418,プ,日本金銭機械,1360,972,29%割安,+
6419,プ,マースGHD,3760,2790,24%割安,+
6420,プ,ガリレイ,5331,3570,33%割安,+
6424,ス,高見沢サイバネティックス,1439,903,37%割安,+
6425,ス,ユニバーサルエンターテインメント,1701,732,57%割安,+
6428,ス,オーイズミ,120,327,172%割高,-
6430,プ,ダイコク電機,3261,2356,28%割安,+
6432,プ,竹内製作所,7810,7020,10%割安,+
6433,ス,ヒーハイスト,,1535,,-
6436,プ,アマノ,4645,3583,23%割安,+
6440,プ,JUKI,402,766,90%割高,-
6444,ス,サンデン,,174,,-
6445,プ,ジャノメ,1818,1115,39%割安,+
6448,プ,ブラザー工業,3792,2984,21%割安,+
6454,プ,マックス,1389,1693,22%割高,-
6455,プ,モリタHD,3776,2516,33%割安,+
6457,プ,グローリー,4521,4005,11%割安,+
6458,プ,新晃工業,1610,1219,24%割安,+
6459,プ,大和冷機工業,2126,1926,9%割安,+
6460,プ,セガサミーHD,2722,2278.5,16%割安,+
6463,プ,TPR,2933,1226,58%割安,+
6464,ス,ツバキ・ナカシマ,,326,,-
6465,プ,ホシザキ,5570,5099,8%割安,+
6466,ス,TVE,4841,4585,5%割安,+
6467,ス,ニチダイ,,345,,-
6469,ス,放電精密加工研究所,967,2919,202%割高,-
6470,ス,大豊工業,726,1187,65%割高,-
6471,プ,日本精工,1346,1268,6%割安,+
6472,プ,NTN,407,382.2,6%割安,+
6473,プ,ジェイテクト,2625,1913,27%割安,+
6474,プ,不二越,6943,5090,27%割安,+
6479,プ,ミネベアミツミ,2673,3124,17%割高,-
6480,プ,日本トムソン,984,1102,12%割高,-
6481,プ,THK,2454,5873,139%割高,-
6482,ス,YUSHIN,890,667,25%割安,+
6484,ス,KVK,3808,2425,36%割安,+
6342,ス,太平製作所,4192,2675,36%割安,+
6343,ス,フリージア・マクロス,450,157,65%割安,+
